
Name                                                                            Value
Microsoft.Azure.RecoveryServices.SiteRecovery2.LinuxDEBIAN9                     1.0.0.9256
Microsoft.Azure.RecoveryServices.SiteRecovery2.LinuxOL10                        1.0.0.9262
Microsoft.Azure.RecoveryServices.SiteRecovery2.LinuxOL8                         1.0.0.9262
Microsoft.Azure.RecoveryServices.SiteRecovery2.LinuxOL9                         1.0.0.9262
Microsoft.Azure.RecoveryServices.SiteRecovery2.LinuxRHEL10                      1.0.0.9262
Microsoft.Azure.RecoveryServices.SiteRecovery2.LinuxRHEL8                       1.0.0.9262
Microsoft.Azure.RecoveryServices.SiteRecovery2.LinuxRHEL9                       1.0.0.9262
Microsoft.Azure.RecoveryServices.SiteRecovery2.LinuxSLES12                      1.0.0.9262
Microsoft.Azure.RecoveryServices.SiteRecovery2.LinuxSLES15                      1.0.0.9262
Microsoft.Azure.RecoveryServices.SiteRecovery2.LinuxUBUNTU1804                  1.0.0.9262
Microsoft.Azure.RecoveryServices.SiteRecovery2.LinuxUBUNTU2004                  1.0.0.9262
Microsoft.Azure.RecoveryServices.SiteRecovery2.LinuxUBUNTU2204                  1.0.0.9262
Microsoft.Azure.RecoveryServices.SiteRecovery2.LinuxUBUNTU2404                  1.0.0.9262
Microsoft.Azure.RecoveryServices.VMSnapshot                                     1.0.100.0
Microsoft.Azure.RecoveryServices.VMSnapshotLinux                                1.0.9225.0
Microsoft.Azure.RecoveryServices.WorkloadBackup.AzureBackupLinuxWorkload        3.0.0.1
Microsoft.Azure.RecoveryServices.WorkloadBackup.AzureBackupWindowsWorkload      1.1.0.125
Microsoft.Azure.RecoveryServices.WorkloadBackup.WorkloadDiagnosticLinux         1.4.0.0
Microsoft.Azure.Reliability.Watson.AzureWatsonAgentForLinux                     1.2307.0.0
Microsoft.Azure.SCOMMI.GatewayServer                                            1.0.0.5
Microsoft.Azure.SCOMMI.GatewayServer.Test                                       1.0.0.52
Microsoft.Azure.SCOMMI.WindowsAgent                                             1.0.38.0
