
name                                     publisher                                                   version
LinuxChefClient                          Chef.Bootstrap.WindowsAzure                                 1210.14.1.2
CloudLabsWindowsAgent                    Spektra.Cloudlabs                                           0.0.0.17
AzureLogCollector                        Microsoft.WindowsAzure.Compute                              1.0.0.9
WindowsOpenSSH                           Microsoft.Azure.OpenSSH                                     3.0.1.0
AntimalwareConfiguration                 Microsoft.Azure.Security.AntimalwareSignature               2.201.0.1
CustomScript                             Microsoft.Azure.Extensions                                  2.1.13
DockerExtension                          Microsoft.Azure.Extensions                                  1.2.2
FixEmulatedIO                            Microsoft.Azure.Extensions                                  1.0.0
FixLinuxDiagnostic                       Microsoft.Azure.Extensions                                  1.0.0
GuestActionForLinux                      Microsoft.Azure.Extensions                                  1.0.0
GuestActionForWindows                    Microsoft.Azure.Extensions                                  1.0.0
LinuxAsm                                 Microsoft.Azure.Extensions                                  2.2.5
PuppetEnterpriseAgent                    PuppetLabs                                                  2016.1.2
Linux                                    Microsoft.Azure.RecoveryServices.SiteRecovery               1.0.0.9256
LinuxOL6                                 Microsoft.Azure.RecoveryServices.SiteRecovery               1.0.0.9256
OctopusDeployWindowsTentacle             OctopusDeploy.Tentacle                                      2.0.207
LinuxOL7                                 Microsoft.Azure.RecoveryServices.SiteRecovery               1.0.0.9256
ESANWindowsOSExtension                   Microsoft.Azure.Extensions.ElasticSANExtension              1.12
LinuxRHEL6                               Microsoft.Azure.RecoveryServices.SiteRecovery               1.0.0.9258
LinuxRHEL7                               Microsoft.Azure.RecoveryServices.SiteRecovery               1.0.0.9262
LinuxSLES11SP3                           Microsoft.Azure.RecoveryServices.SiteRecovery               1.0.0.9256
AADLoginForLinux                         Microsoft.Azure.ActiveDirectory.LinuxSSH                    1.0.1588.3
LinuxSLES11SP4                           Microsoft.Azure.RecoveryServices.SiteRecovery               1.0.0.9256
LinuxUBUNTU1404                          Microsoft.Azure.RecoveryServices.SiteRecovery               1.0.0.9256
LinuxUBUNTU1604                          Microsoft.Azure.RecoveryServices.SiteRecovery               1.0.0.9256
SiteRecovery                             Microsoft.Azure.RecoveryServices.SiteRecovery               0.0.0.0
SiteRecoveryLinux                        Microsoft.Azure.RecoveryServices.SiteRecovery               0.0.0.1
MonitorX64Linux                          Microsoft.AzureCAT.AzureEnhancedMonitoring.Test             1.98.0.0
MonitorX64Windows                        Microsoft.AzureCAT.AzureEnhancedMonitoring.Test             1.98.0.0
Windows                                  Microsoft.Azure.RecoveryServices.SiteRecovery               1.0.0.9262
AzureDiskEncryption                      Microsoft.Azure.Security                                    2.5.0.6
AzureDiskEncryptionForLinux              Microsoft.Azure.Security                                    1.4.0.11
VS14CTPDebugger                          Microsoft.VisualStudio.Azure.RemoteDebug                    1.0.0.6
IaaSAntimalware                          Microsoft.Azure.Security                                    1.8.0.90
VS2012Debugger                           Microsoft.VisualStudio.Azure.RemoteDebug                    1.0.0.2
VS2013Debugger                           Microsoft.VisualStudio.Azure.RemoteDebug                    1.0.0.2
VSRemoteDebugger                         Microsoft.VisualStudio.Azure.RemoteDebug                    1.1.4.0
VMBackupForLinuxExtension                Microsoft.Azure.Security                                    0.1.0.995
PuppetAgent                              puppet                                                      1.5.2
VMSnapshot                               Microsoft.Azure.RecoveryServices.Edp                        1.0.39.0
VMSnapshotLinux                          Microsoft.Azure.RecoveryServices.Edp                        1.0.9151.0
AzureVirtualDesktopAgent-Test            Microsoft.AzureVirtualDesktop                               1.0.21
CloudDeviceExtension                     Microsoft.AzureVirtualDesktop                               1.1.03314.77
CloudDeviceExtension-Test                Microsoft.AzureVirtualDesktop                               1.1.03323.82
salt-minion.linux                        turtletraction.oss                                          1.1.0.0
salt-minion.windows                      turtletraction.oss                                          1.1.0.0
AzureMonitoring                          Microsoft.Azure.Monitor.Agent                               1.0.4.1
HostIDSExtension                         KevlarExtensions.M365SecurityHostIDS                        1.80.0.0
ODLExtension                             KevlarExtensions.M365SecurityHostIDS                        1.0.20210604.0404
AzureWatsonAgentForLinux                 Microsoft.Azure.Reliability.Watson                          1.2307.0.0
ScomServerForWindows                     Microsoft.Azure.SCOMMIServer                                2.0.11
IscsiDiagnosticsReadOnlyLinux            PureStorage.Extensions                                      1.1.0.0
AzureMonitorAlerts.Internal              Microsoft.AzureStackHCI                                     0.0.0.5
IscsiDiagnosticsReadOnlyWindows          PureStorage.Extensions                                      1.1.0.0
MountIscsiLinux                          PureStorage.Extensions                                      1.1.0.0
MountIscsiWindows                        PureStorage.Extensions                                      1.1.0.0
BatchLinux                               Microsoft.Azure.Batch                                       1.0.201239
BatchWindows                             Microsoft.Azure.Batch                                       1.0.201239
VormetricTransparentEncryptionAgent      Vormetric                                                   5.2.339.0
MDE.Linux                                Microsoft.Azure.AzureDefenderForServers                     1.0.9.2
MDE.Windows                              Microsoft.Azure.AzureDefenderForServers                     1.0.17.0
TestSqlIaaSAgent                         Microsoft.TestSqlServer.Edp                                 2.0.0.18
TestSqlIaaSAgentLinux                    Microsoft.TestSqlServer.Edp                                 1.0.16
Cosmic.Compute.Windows.Node              Microsoft.M365                                              2.16.0.0
PortalProtectExtension                   TrendMicro.PortalProtect                                    2.1
ApplicationMonitoringWindows             Microsoft.Azure.Diagnostics                                 2.8.47.398
IaaSDiagnostics                          Microsoft.Azure.Diagnostics                                 1.22.0.1
LinuxDiagnostic                          Microsoft.Azure.Diagnostics                                 4.1.24
AzureDiagnosticsLinuxExtIaaS7.Test       Microsoft.OSTCExtensions.Test                               1.0.0.0
QualysAgentGL                            Qualys.WindowsAgent.GrayLabel                               1.0.0.2
TLSExtension                             KevlarExtensions.M365SecurityTLSExtension                   1.14.0.0
Bastion.Linux.Development                Microsoft.Network                                           1.0.1
IaaSDiagnostics                          WAD2AI.Diagnostics.Test                                     0.23.0.0
Workload.WLILinuxExtension               Microsoft.Azure.Monitor.Workloads.Dev                       0.2.10
AzureMonitorLinuxAgent                   Microsoft.Azure.Monitor                                     1.40.0
AzureMonitorWindowsAgent                 Microsoft.Azure.Monitor                                     1.41.0.0
ConfDiskEncWindows                       Microsoft.Azure.Security.ConfidentialDiskEncryption         1.0.0.3
DatadogLinuxAgent                        Datadog.Agent                                               9.0.0
CodeIntegrityAgent                       Microsoft.Azure.Security.WindowsCodeIntegrity               1.0.0.25
DatadogWindowsAgent                      Datadog.Agent                                               8.1.0
TestAzureCodeIntegrityVmExtension        Microsoft.Azure.Security.WindowsCodeIntegrity               1.0.0.34
ApplicationHealthLinux                   Microsoft.ManagedServices                                   2.0.19
Aquarius                                 Microsoft.Azure.Networking.SDN                              5.0.0.0
ApplicationHealthWindows                 Microsoft.ManagedServices                                   2.0.23
AquariusLinux                            Microsoft.Azure.Networking.SDN                              1.6.0.0
DSCForLinux                              Microsoft.OSTCExtensions.Edp                                3.8.10
VMAccessForLinux                         Microsoft.OSTCExtensions.Edp                                1.5.13
IaaS47C6E03DTest                         Microsoft.Azure.Applications                                1.0.0.3
DependencyAgentLinux                     Microsoft.Azure.Monitoring.DependencyAgent                  9.10.18.4770
DependencyAgentWindows                   Microsoft.Azure.Monitoring.DependencyAgent                  9.10.18.4770
MicrosoftSapAgent                        Microsoft.Sentinel.SapAgentExtensions                       0.0.7
GuestAttestation                         Microsoft.Azure.Security.LinuxAttestation                   1.0.1.43
SCWPAgentForLinux                        Symantec.CloudWorkloadProtection                            3.4.2.0
HybridFabricAgentForWindows              Microsoft.Azure.HybridFabric                                1.0.0
SCWPAgentForWindows                      Symantec.CloudWorkloadProtection                            3.4.0.0
LinuxExtension                           SentinelOne.LinuxExtension                                  1.2.2
ADETest                                  Microsoft.Azure.Security.Edp                                2.4.0.28
AzureDiskEncryption                      Microsoft.Azure.Security.Edp                                2.4.0.22
AzureDiskEncryptionForLinux              Microsoft.Azure.Security.Edp                                1.4.0.23
AzureDiskEncryptionForLinuxTest1         Microsoft.Azure.Security.Edp                                1.4.0.11
AzureDiskEncryptionForLinuxTest2         Microsoft.Azure.Security.Edp                                1.2.0.75
AzureDiskEncryptionTest1                 Microsoft.Azure.Security.Edp                                2.4.0.30
DSC                                      Microsoft.Powershell.Test                                   3.1.1
WindowsExtension                         SentinelOne.WindowsExtension                                1.4.16
MonitoringExtensionLinux                 Microsoft.Test.Azure.Workloads                              1.0.94.12
TorusExtension                           M365Security.KevlarExtensions                               2.30.0.0
MonitoringExtensionWindows               Microsoft.Test.Azure.Workloads                              1.0.95.2
LinuxDEBIAN10                            Microsoft.Azure.RecoveryServices.SiteRecovery2              1.0.0.9256
WorkloadsExtensionLinux                  Microsoft.Test.Azure.Workloads                              1.10.0.4
LinuxDEBIAN11                            Microsoft.Azure.RecoveryServices.SiteRecovery2              1.0.0.9262
WorkloadsExtensionWindows                Microsoft.Test.Azure.Workloads                              1.10.0.0
LinuxDEBIAN12                            Microsoft.Azure.RecoveryServices.SiteRecovery2              1.0.0.9262
SqlIaaSAgentLinuxTest                    Microsoft.SqlServer.Management.Test                         1.0.2.0
LinuxDEBIAN7                             Microsoft.Azure.RecoveryServices.SiteRecovery2              1.0.0.9256
LinuxDEBIAN8                             Microsoft.Azure.RecoveryServices.SiteRecovery2              1.0.0.9256
LinuxDEBIAN9                             Microsoft.Azure.RecoveryServices.SiteRecovery2              1.0.0.9256
LinuxOL10                                Microsoft.Azure.RecoveryServices.SiteRecovery2              1.0.0.9262
IaaSAntimalware                          Microsoft.Azure.Security.Test                               1.7.0.3
LinuxOL8                                 Microsoft.Azure.RecoveryServices.SiteRecovery2              1.0.0.9262
LinuxOL9                                 Microsoft.Azure.RecoveryServices.SiteRecovery2              1.0.0.9262
LinuxRHEL10                              Microsoft.Azure.RecoveryServices.SiteRecovery2              1.0.0.9262
LinuxRHEL8                               Microsoft.Azure.RecoveryServices.SiteRecovery2              1.0.0.9262
LinuxRHEL9                               Microsoft.Azure.RecoveryServices.SiteRecovery2              1.0.0.9262
LinuxSLES12                              Microsoft.Azure.RecoveryServices.SiteRecovery2              1.0.0.9262
LinuxSLES15                              Microsoft.Azure.RecoveryServices.SiteRecovery2              1.0.0.9262
LinuxUBUNTU1804                          Microsoft.Azure.RecoveryServices.SiteRecovery2              1.0.0.9262
Credactor                                Microsoft.Security.CRED.Defender                            1.2.3
LinuxUBUNTU2004                          Microsoft.Azure.RecoveryServices.SiteRecovery2              1.0.0.9262
Credactor-Linux                          Microsoft.Security.CRED.Defender                            1.1.1
LinuxUBUNTU2204                          Microsoft.Azure.RecoveryServices.SiteRecovery2              1.0.0.9262
Credactor-Linux-Test                     Microsoft.Security.CRED.Defender                            1.0.22
